"id","title","genres","pos"
19995,"Avatar","Action",1
19995,"Avatar","Adventure",2
19995,"Avatar","Fantasy",3
19995,"Avatar","Science Fiction",4
285,"Pirates of the Caribbean: At Worlds End","Adventure",1
285,"Pirates of the Caribbean: At Worlds End","Fantasy",2
285,"Pirates of the Caribbean: At Worlds End","Action",3
206647,"Spectre","Action",1
206647,"Spectre","Adventure",2
206647,"Spectre","Crime",3
49026,"The Dark Knight Rises","Action",1
49026,"The Dark Knight Rises","Crime",2
49026,"The Dark Knight Rises","Drama",3
49026,"The Dark Knight Rises","Thriller",4
49529,"John Carter","Action",1
49529,"John Carter","Adventure",2
49529,"John Carter","Science Fiction",3
559,"Spider-Man 3","Fantasy",1
559,"Spider-Man 3","Action",2
559,"Spider-Man 3","Adventure",3
38757,"Tangled","Animation",1
38757,"Tangled","Family",2
99861,"Avengers: Age of Ultron","Action",1
99861,"Avengers: Age of Ultron","Adventure",2
99861,"Avengers: Age of Ultron","Science Fiction",3
767,"Harry Potter and the Half-Blood Prince","Adventure",1
767,"Harry Potter and the Half-Blood Prince","Fantasy",2
767,"Harry Potter and the Half-Blood Prince","Family",3
209112,"Batman v Superman: Dawn of Justice","Action",1
209112,"Batman v Superman: Dawn of Justice","Adventure",2
209112,"Batman v Superman: Dawn of Justice","Fantasy",3
1452,"Superman Returns","Adventure",1
1452,"Superman Returns","Fantasy",2
1452,"Superman Returns","Action",3
1452,"Superman Returns","Science Fiction",4
10764,"Quantum of Solace","Adventure",1
10764,"Quantum of Solace","Action",2
10764,"Quantum of Solace","Thriller",3
10764,"Quantum of Solace","Crime",4
58,"Pirates of the Caribbean: Dead Mans Chest","Adventure",1
58,"Pirates of the Caribbean: Dead Mans Chest","Fantasy",2
58,"Pirates of the Caribbean: Dead Mans Chest","Action",3
57201,"The Lone Ranger","Action",1
57201,"The Lone Ranger","Adventure",2
57201,"The Lone Ranger","Western",3
49521,"Man of Steel","Action",1
49521,"Man of Steel","Adventure",2
49521,"Man of Steel","Fantasy",3
49521,"Man of Steel","Science Fiction",4
2454,"The Chronicles of Narnia: Prince Caspian","Adventure",1
2454,"The Chronicles of Narnia: Prince Caspian","Family",2
2454,"The Chronicles of Narnia: Prince Caspian","Fantasy",3
24428,"The Avengers","Science Fiction",1
24428,"The Avengers","Action",2
24428,"The Avengers","Adventure",3
1865,"Pirates of the Caribbean: On Stranger Tides","Adventure",1
1865,"Pirates of the Caribbean: On Stranger Tides","Action",2
1865,"Pirates of the Caribbean: On Stranger Tides","Fantasy",3
41154,"Men in Black 3","Action",1
41154,"Men in Black 3","Comedy",2
41154,"Men in Black 3","Science Fiction",3
122917,"The Hobbit: The Battle of the Five Armies","Action",1
122917,"The Hobbit: The Battle of the Five Armies","Adventure",2
122917,"The Hobbit: The Battle of the Five Armies","Fantasy",3
