"id","title","keyword","pos"
19995,"Avatar","culture clash",1
19995,"Avatar","future",2
19995,"Avatar","space war",3
19995,"Avatar","space colony",4
19995,"Avatar","society",5
19995,"Avatar","space travel",6
19995,"Avatar","futuristic",7
19995,"Avatar","romance",8
19995,"Avatar","space",9
19995,"Avatar","alien",10
19995,"Avatar","tribe",11
19995,"Avatar","alien planet",12
19995,"Avatar","cgi",13
19995,"Avatar","marine",14
19995,"Avatar","soldier",15
19995,"Avatar","battle",16
19995,"Avatar","love affair",17
19995,"Avatar","anti war",18
19995,"Avatar","power relations",19
19995,"Avatar","mind and soul",20
19995,"Avatar","3d",21
285,"Pirates of the Caribbean: At Worlds End","ocean",1
285,"Pirates of the Caribbean: At Worlds End","drug abuse",2
285,"Pirates of the Caribbean: At Worlds End","exotic island",3
285,"Pirates of the Caribbean: At Worlds End","east india trading company",4
285,"Pirates of the Caribbean: At Worlds End","love of one's life",5
285,"Pirates of the Caribbean: At Worlds End","traitor",6
285,"Pirates of the Caribbean: At Worlds End","shipwreck",7
285,"Pirates of the Caribbean: At Worlds End","strong woman",8
285,"Pirates of the Caribbean: At Worlds End","ship",9
285,"Pirates of the Caribbean: At Worlds End","alliance",10
285,"Pirates of the Caribbean: At Worlds End","calypso",11
285,"Pirates of the Caribbean: At Worlds End","afterlife",12
285,"Pirates of the Caribbean: At Worlds End","fighter",13
285,"Pirates of the Caribbean: At Worlds End","pirate",14
285,"Pirates of the Caribbean: At Worlds End","swashbuckler",15
285,"Pirates of the Caribbean: At Worlds End","aftercreditsstinger",16
206647,"Spectre","spy",1
206647,"Spectre","based on novel",2
206647,"Spectre","secret agent",3
206647,"Spectre","sequel",4
206647,"Spectre","mi6",5
206647,"Spectre","british secret service",6
206647,"Spectre","united kingdom",7
49026,"The Dark Knight Rises","dc comics",1
49026,"The Dark Knight Rises","crime fighter",2
49026,"The Dark Knight Rises","terrorist",3
49026,"The Dark Knight Rises","secret identity",4
49026,"The Dark Knight Rises","burglar",5
49026,"The Dark Knight Rises","hostage drama",6
49026,"The Dark Knight Rises","time bomb",7
49026,"The Dark Knight Rises","gotham city",8
49026,"The Dark Knight Rises","vigilante",9
49026,"The Dark Knight Rises","cover-up",10
49026,"The Dark Knight Rises","superhero",11
49026,"The Dark Knight Rises","villainess",12
49026,"The Dark Knight Rises","tragic hero",13
49026,"The Dark Knight Rises","terrorism",14
49026,"The Dark Knight Rises","destruction",15
49026,"The Dark Knight Rises","catwoman",16
49026,"The Dark Knight Rises","cat burglar",17
49026,"The Dark Knight Rises","imax",18
49026,"The Dark Knight Rises","flood",19
49026,"The Dark Knight Rises","criminal underworld",20
49026,"The Dark Knight Rises","batman",21
49529,"John Carter","based on novel",1
49529,"John Carter","mars",2
49529,"John Carter","medallion",3
49529,"John Carter","space travel",4
49529,"John Carter","princess",5
49529,"John Carter","alien",6
49529,"John Carter","steampunk",7
49529,"John Carter","martian",8
49529,"John Carter","escape",9
49529,"John Carter","edgar rice burroughs",10
49529,"John Carter","alien race",11
49529,"John Carter","superhuman strength",12
49529,"John Carter","mars civilization",13
49529,"John Carter","sword and planet",14
49529,"John Carter","19th century",15
49529,"John Carter","3d",16
559,"Spider-Man 3","dual identity",1
559,"Spider-Man 3","amnesia",2
559,"Spider-Man 3","sandstorm",3
559,"Spider-Man 3","love of one's life",4
559,"Spider-Man 3","forgiveness",5
559,"Spider-Man 3","spider",6
559,"Spider-Man 3","wretch",7
559,"Spider-Man 3","death of a friend",8
559,"Spider-Man 3","egomania",9
559,"Spider-Man 3","sand",10
559,"Spider-Man 3","narcism",11
559,"Spider-Man 3","hostility",12
559,"Spider-Man 3","marvel comic",13
559,"Spider-Man 3","sequel",14
559,"Spider-Man 3","superhero",15
559,"Spider-Man 3","revenge",16
38757,"Tangled","hostage",1
38757,"Tangled","magic",2
38757,"Tangled","horse",3
38757,"Tangled","fairy tale",4
38757,"Tangled","musical",5
38757,"Tangled","princess",6
38757,"Tangled","animation",7
38757,"Tangled","tower",8
38757,"Tangled","blonde woman",9
38757,"Tangled","selfishness",10
38757,"Tangled","healing power",11
38757,"Tangled","based on fairy tale",12
38757,"Tangled","duringcreditsstinger",13
38757,"Tangled","healing gift",14
38757,"Tangled","animal sidekick",15
99861,"Avengers: Age of Ultron","marvel comic",1
99861,"Avengers: Age of Ultron","sequel",2
99861,"Avengers: Age of Ultron","superhero",3
99861,"Avengers: Age of Ultron","based on comic book",4
99861,"Avengers: Age of Ultron","vision",5
99861,"Avengers: Age of Ultron","superhero team",6
99861,"Avengers: Age of Ultron","duringcreditsstinger",7
99861,"Avengers: Age of Ultron","marvel cinematic universe",8
99861,"Avengers: Age of Ultron","3d",9
767,"Harry Potter and the Half-Blood Prince","witch",1
767,"Harry Potter and the Half-Blood Prince","magic",2
767,"Harry Potter and the Half-Blood Prince","broom",3
767,"Harry Potter and the Half-Blood Prince","school of witchcraft",4
767,"Harry Potter and the Half-Blood Prince","wizardry",5
767,"Harry Potter and the Half-Blood Prince","apparition",6
767,"Harry Potter and the Half-Blood Prince","teenage crush",7
767,"Harry Potter and the Half-Blood Prince","werewolf",8
209112,"Batman v Superman: Dawn of Justice","dc comics",1
209112,"Batman v Superman: Dawn of Justice","vigilante",2
209112,"Batman v Superman: Dawn of Justice","superhero",3
209112,"Batman v Superman: Dawn of Justice","based on comic book",4
209112,"Batman v Superman: Dawn of Justice","revenge",5
209112,"Batman v Superman: Dawn of Justice","super powers",6
